time files tags foundfiles numtags
0.118658 81166 2166 0 8
0.483818 81533 2172 2 2
0.123542 83238 2197 467 1
0.025811 84907 2226 0 5
0.027842 85265 2229 0 6
0.024604 87092 2258 0 13
0.128162 87590 2267 405 1
0.154881 87732 2268 0 6
0.104141 89556 2296 0 5
0.073042 90273 2305 0 6
0.131003 90321 2307 480 1
0.083165 94421 2363 1 2
0.020931 95986 2391 0 5
0.05999 97669 2411 0 2
0.018214 1770 1033 0 7
0.016477 2483 1044 0 3
0.010848 3539 1055 20 1
0.037615 3824 1058 0 3
0.043742 4543 1068 0 4
0.019244 6391 1096 58 1
0.041634 6667 1101 0 3
0.05187 8757 1129 0 6
0.026809 10296 1149 0 8
0.065381 10484 1151 0 3
0.075145 10698 1156 0 3
0.007148 11554 1178 0 5
0.038277 14375 1215 0 9
0.015304 15064 1228 0 6
0.06904 15786 1234 0 10
0.054624 17799 1264 1 2
0.04073 21649 1310 149 1
0.12276 21737 1311 0 2
0.009909 25980 1360 0 5
0.05686 27195 1382 168 1
0.062372 35539 1496 238 1
0.184549 35887 1502 0 4
0.0076 37712 1527 0 4
0.220114 38301 1535 0 4
0.218258 39174 1555 0 4
0.018307 40500 1575 0 7
0.097075 41906 1597 282 1
0.025603 43807 1625 0 3
0.210755 43822 1626 0 2
0.028173 45224 1638 0 6
0.126312 46081 1644 0 6
0.050888 46324 1648 0 4
0.256171 46427 1649 0 3
0.131019 47204 1659 0 4
0.00664 48051 1671 0 6
0.037958 48280 1673 0 3
0.074498 48321 1674 273 1
0.095995 52792 1726 0 2
0.174382 53346 1737 0 4
0.014249 54649 1760 0 10
0.434992 54663 1761 0 2
0.039965 56684 1792 118 1
0.027569 57081 1798 0 6
0.066359 57519 1808 0 6
0.348457 57700 1812 0 7
0.050278 57750 1814 0 7
0.126194 58234 1820 0 4
0.018847 58749 1827 0 9
0.027106 59744 1843 0 2
0.010782 60293 1851 0 3
0.038345 61190 1869 0 8
0.055625 65097 1926 0 4
0.379053 66649 1953 0 3
0.060594 67565 1968 0 5
0.399304 67688 1972 0 7
0.203052 68101 1977 0 6
0.097156 68358 1981 0 6
0.063126 69405 2000 0 5
0.018364 70674 2018 0 9
0.013057 71098 2022 0 2
0.082082 71278 2025 0 4
0.013194 71896 2032 25 1
0.02072 72639 2049 0 8
0.022651 73924 2063 0 6
0.05456 73989 2064 0 2
0.086142 75271 2092 0 5
0.138753 76306 2109 0 3
0.012275 77177 2124 0 6
0.050442 78818 2146 0 9
0.054046 80494 2175 0 5
0.088136 81525 2192 0 7
0.324191 82175 2198 0 3
0.029828 82542 2202 0 5
0.100992 84754 2237 0 7
0.022716 85079 2242 0 4
0.034376 85099 2243 89 1
0.053041 86290 2259 0 11
0.057518 88432 2280 162 1
0.711092 91126 2332 0 4
0.058115 92949 2355 0 6
0.127648 93758 2370 0 7
0.05893 94043 2373 0 6
0.029777 96387 2408 0 5
0.040049 97515 2423 0 8
0.036777 99032 2444 0 2
0.002447 244 1026 1 1
0.013133 1126 1112 0 3
0.02395 7156 1729 0 3
0.034531 7291 1740 0 2
0.017877 9713 1981 0 3
0.022362 9890 1999 61 1
0.011244 14631 2496 0 8
0.010559 16503 2674 0 6
0.018361 16610 2682 0 7
0.026114 17417 2766 0 3
0.020185 17560 2775 0 4
0.019279 18887 2923 63 1
0.009929 19076 2938 0 6
0.014041 21666 3198 0 10
0.038187 22164 3242 101 1
0.107757 22379 3269 1 2
0.033169 22489 3281 95 1
0.029391 23587 3382 0 12
0.030123 24826 3515 0 7
0.014953 25664 3601 0 4
0.012317 25707 3606 0 10
0.006244 25991 3631 0 4
0.02317 26709 3699 0 7
0.031862 27192 3748 112 1
0.026454 27773 3806 0 5
0.065638 29558 3962 1 2
0.01428 29711 3978 0 7
0.015973 29892 3997 51 1
0.04297 30513 4056 0 2
0.008954 30725 4078 0 6
0.020793 30831 4093 65 1
0.031003 30859 4099 0 3
0.036142 33082 4315 93 1
0.035293 33199 4325 0 6
0.091284 33540 4353 0 2
0.076129 33566 4360 0 2
0.013684 34717 4472 0 10
0.011262 34778 4478 18 1
0.018237 35194 4519 0 3
0.018604 35951 4611 0 5
0.012193 36292 4644 0 2
0.027675 36918 4714 0 4
0.025081 37452 4768 0 3
